"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.382953833E0,-1.402283936E0,1.737886047E0,4.593946838E-1,2.279844649E0
2.392925833E0,-2.879861298E0,8.626560974E-1,-3.737727356E-1,3.029436036E0
2.402896833E0,-4.532424774E0,2.200424194E-1,-2.086810455E0,4.994604176E0
2.412867833E0,-5.908363495E0,4.340972900E-3,-4.113146667E0,7.199080048E0
2.422838833E0,-6.079757080E0,8.951385498E-2,-6.471941528E0,8.880173761E0
2.432810833E0,-4.450545044E0,6.894662476E-1,-7.831564178E0,9.034163623E0
2.442781833E0,-2.638862457E0,1.680106201E0,-6.762187958E0,7.450740761E0
2.452752833E0,-2.009870453E0,2.381846924E0,-7.097490692E0,7.751590039E0
2.462724833E0,-1.970502319E0,2.267933807E0,-8.366401978E0,8.889492966E0
2.472695833E0,-1.909579010E0,1.815275116E0,-8.830736389E0,9.215401289E0
2.482666833E0,-1.917662201E0,1.670675812E0,-8.007298737E0,8.401512902E0
2.492637833E0,-1.858385468E0,1.305884399E0,-5.612578583E0,6.054747638E0
2.502609833E0,-1.866019592E0,3.860472107E-1,-2.480042725E0,3.127566703E0
2.512580833E0,-2.062261505E0,-4.002676392E-1,2.104623413E-1,2.111262915E0
2.522551833E0,-2.234104156E0,-7.855664063E-1,2.629881134E0,3.539012679E0
2.532523833E0,-2.295177155E0,-1.123563538E0,4.157753906E0,4.880281830E0
2.542494833E0,-2.182012482E0,-1.350940704E0,4.726571045E0,5.378354126E0
2.552465833E0,-1.756746826E0,-1.194366302E0,4.894372101E0,5.335498902E0
2.562436833E0,-1.335373077E0,-8.081694031E-1,4.206851807E0,4.487088272E0
2.572408833E0,-7.288343811E-1,-4.326004028E-1,3.232976990E0,3.342227233E0
2.582379833E0,-7.544311523E-2,2.275268555E-2,2.474653931E0,2.475908202E0
2.592350833E0,3.538641357E-1,4.254153442E-1,1.968406677E0,2.044706064E0
2.602322833E0,6.186634827E-1,6.104306030E-1,1.365011444E0,1.618217003E0
2.612293833E0,6.973997498E-1,6.683601379E-1,1.185534668E0,1.529236455E0
2.622264833E0,5.126838684E-1,5.593867493E-1,1.520388336E0,1.699217166E0
2.632235833E0,2.409988403E-2,1.862127686E-1,2.013912048E0,2.022646222E0
2.642207833E0,-4.550537109E-1,-2.252815247E-1,2.578687592E0,2.628203824E0
2.652179042E0,-4.852908325E-1,-5.551954651E-1,3.345542908E0,3.425843917E0
2.662150042E0,3.278182983E-2,-6.518943787E-1,4.510270844E0,4.557256193E0
2.672122042E0,8.333171082E-1,-5.445675659E-1,5.933361511E0,6.016290390E0
2.682093042E0,1.802252197E0,-7.253915405E-1,8.260871429E0,8.486241962E0
2.692064042E0,2.835254059E0,-9.473799133E-1,1.091769653E1,1.131955352E1
2.702035042E0,4.114493866E0,-1.303639069E0,1.346225510E1,1.413721496E1
2.712007042E0,5.519023132E0,-2.212698669E0,1.653252045E1,1.756928809E1
2.721978042E0,6.157295837E0,-2.921624451E0,1.986384293E1,2.100048660E1
2.731949042E0,7.136260071E0,-2.299218750E0,2.157897629E1,2.284436106E1
2.741921042E0,9.862540741E0,-4.751119995E-1,2.441153595E1,2.633284126E1
2.751892042E0,1.345926132E1,2.278412018E0,3.085593475E1,3.374065183E1
2.761863042E0,1.628298935E1,2.834355927E0,3.858765656E1,4.197828670E1
