"t(s)","a(m/s²)"
3.762114708E0,-1.031385223E1
3.772084708E0,-1.049273026E1
3.782054708E0,-1.032627640E1
3.792024708E0,-9.935738525E0
3.801994708E0,-9.518705750E0
3.811964708E0,-9.248218231E0
3.821934708E0,-9.056766357E0
3.831905167E0,-8.629105682E0
3.841875167E0,-8.222401428E0
3.851845167E0,-8.015381927E0
3.861815167E0,-7.842790833E0
3.871784167E0,-7.726482697E0
3.881754167E0,-7.550598450E0
3.891724167E0,-7.312892761E0
3.901694167E0,-7.122039642E0
3.911664167E0,-6.918163605E0
3.921634167E0,-6.693181458E0
3.931604167E0,-6.474486237E0
3.941574167E0,-6.367309113E0
3.951544167E0,-6.294111328E0
3.961514167E0,-6.266718292E0
3.971484167E0,-6.257587280E0
3.981454167E0,-6.138734436E0
3.991424167E0,-6.088439026E0
4.001394167E0,-6.084846497E0
4.011364167E0,-5.964945831E0
4.021334167E0,-5.818250885E0
4.031304167E0,-5.767805786E0
4.041274167E0,-5.755980377E0
4.051244167E0,-5.851781158E0
4.061214167E0,-6.188730469E0
4.071184167E0,-6.538253632E0
4.081154167E0,-6.694079590E0
4.091124167E0,-6.763834534E0
4.101094167E0,-7.066355438E0
4.111064167E0,-7.345225525E0
4.121034167E0,-7.643704834E0
4.131004167E0,-7.879763947E0
4.140974167E0,-8.089328156E0
4.150943167E0,-8.284073181E0
4.160913167E0,-8.543034668E0
4.170883167E0,-8.860075378E0
4.180853167E0,-9.263336792E0
4.190823167E0,-9.639504547E0
4.200793167E0,-9.969268799E0
4.210763167E0,-1.011641281E1
4.220733167E0,-1.028017227E1
4.230703167E0,-1.042207718E1
4.240673167E0,-1.040980270E1
4.250643167E0,-1.029304550E1
4.260613167E0,-1.016042130E1
4.270583167E0,-1.034139496E1
4.280553167E0,-1.076980408E1
4.290523167E0,-1.116288666E1
4.300493167E0,-1.129281647E1
4.310463167E0,-1.129655869E1
4.320433167E0,-1.114058304E1
4.330403167E0,-1.086440735E1
4.340373167E0,-1.058284286E1
4.350343167E0,-1.038764877E1
4.360313167E0,-1.043360321E1
4.370283167E0,-1.062894699E1
4.380253167E0,-1.077968353E1
4.390223167E0,-1.078716797E1
4.400192167E0,-1.070543793E1
4.410162167E0,-1.048779053E1
4.420132167E0,-1.020008881E1
4.430102167E0,-9.797875214E0
4.440072167E0,-9.219328308E0
4.450042167E0,-8.609047394E0
4.460012167E0,-8.071215820E0
4.469982167E0,-7.562573547E0
4.479952167E0,-7.017407227E0
4.489922167E0,-6.502328339E0
4.499892167E0,-6.079607391E0
4.509862167E0,-5.786965942E0
4.519832167E0,-5.596112823E0
4.529802167E0,-5.398823090E0
4.539772167E0,-5.194497986E0
4.549742167E0,-5.049898682E0
4.559712167E0,-4.844974823E0
4.569682167E0,-4.589755554E0
4.579652167E0,-4.206851807E0
4.589622167E0,-3.863765259E0
4.599592167E0,-3.606001282E0
4.609562167E0,-3.407064972E0
4.619532167E0,-3.390898590E0
4.629502167E0,-3.488944702E0
4.639472167E0,-3.640729065E0
4.649441167E0,-3.873794403E0
4.659411167E0,-4.112398224E0
4.669381167E0,-4.254452820E0
4.679351167E0,-4.232897644E0
4.689321167E0,-4.228107605E0
4.699291167E0,-4.321812744E0
4.709261167E0,-4.437522125E0
4.719231167E0,-4.655019836E0
4.729201167E0,-4.831053772E0
4.739171167E0,-5.098098450E0
4.749141167E0,-5.522016907E0
4.759111167E0,-6.088588715E0
4.769081167E0,-6.700216827E0
4.779051167E0,-7.182064819E0
4.789021167E0,-7.572453003E0
4.798991167E0,-7.976612549E0
4.808961167E0,-8.455915833E0
4.818931167E0,-8.960965576E0
4.828901167E0,-9.683662720E0
4.838871417E0,-1.038046371E1
4.848841417E0,-1.080872314E1
4.858811417E0,-1.099164276E1
4.868781417E0,-1.091096054E1
4.878751417E0,-1.091979218E1
4.888720417E0,-1.114971405E1
