"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.401656458E0,-2.010289581E1,-2.483201157E1,5.453160095E0,3.241129700E1
2.411732458E0,-1.971220825E1,-2.483964569E1,6.734944611E0,3.241818365E1
2.421807458E0,-1.922571991E1,-2.368150406E1,7.317832489E0,3.136865654E1
2.431883458E0,-1.882664978E1,-2.191667404E1,6.154751129E0,2.954089207E1
2.441958458E0,-1.843566284E1,-2.014211426E1,4.399650879E0,2.765746480E1
2.452033458E0,-1.752585480E1,-1.792971497E1,3.033441925E0,2.525533676E1
2.462109458E0,-1.635693558E1,-1.575773163E1,2.215243378E0,2.282022679E1
2.472184458E0,-1.508907211E1,-1.427057419E1,2.479743347E0,2.091598699E1
2.482260458E0,-1.378692993E1,-1.307261536E1,3.376678162E0,1.929701181E1
2.492335458E0,-1.267264709E1,-1.172302185E1,4.420008545E0,1.782026098E1
2.502411458E0,-1.184397034E1,-1.007764343E1,5.287754059E0,1.642555550E1
2.512486458E0,-1.100271973E1,-8.469387817E0,5.349276123E0,1.487968838E1
2.522561458E0,-9.541608124E0,-7.422913971E0,5.035229187E0,1.309562791E1
2.532637458E0,-7.455097046E0,-6.416407013E0,4.762496338E0,1.092840896E1
2.542712458E0,-5.542075195E0,-5.368885345E0,4.050277405E0,8.714601217E0
2.552788458E0,-3.907474365E0,-4.289030914E0,3.060685272E0,6.559873203E0
2.562863458E0,-2.590962067E0,-3.168012085E0,2.034718781E0,4.570499482E0
2.572939458E0,-1.953288116E0,-2.071841583E0,1.468446350E0,3.203778503E0
2.583014458E0,-1.757644958E0,-8.698411560E-1,1.358275452E0,2.385550595E0
2.593089458E0,-1.450932770E0,3.029699707E-1,1.169817352E0,1.888245043E0
2.603165458E0,-1.375190277E0,1.032552795E0,7.915539551E-1,1.893111523E0
2.613240458E0,-1.507066040E0,1.252146149E0,5.685177612E-1,2.040179029E0
2.623316458E0,-1.601519623E0,1.221759338E0,3.296145630E-1,2.041128791E0
2.633391458E0,-1.896855469E0,1.171014862E0,-2.601589966E-1,2.244330452E0
2.643467458E0,-2.237846375E0,1.043330383E0,-8.876541138E-1,2.623818689E0
2.653542458E0,-2.130519562E0,7.794291687E-1,-1.675914917E0,2.820516662E0
2.663617458E0,-1.556912384E0,4.933740234E-1,-2.734663239E0,3.185243653E0
2.673693458E0,-8.017327881E-1,2.341131592E-1,-3.427272949E0,3.527574847E0
2.683768458E0,-2.348616028E-1,4.396357727E-1,-3.306773529E0,3.344127802E0
2.693844458E0,-4.418811035E-1,6.598278809E-1,-3.074606323E0,3.175505595E0
2.703919458E0,-9.918374634E-1,3.436853027E-1,-2.606829071E0,2.810234678E0
2.713994458E0,-1.355431366E0,-7.484436035E-2,-1.751956787E0,2.216336719E0
2.724070458E0,-1.624871063E0,-3.290158081E-1,-8.720864868E-1,1.873230422E0
2.734145458E0,-1.889071655E0,-5.249583435E-1,9.355545044E-2,1.962887058E0
2.744221458E0,-2.131717072E0,-6.038442993E-1,1.123413849E0,2.484130489E0
2.754296458E0,-2.336790619E0,-6.149212646E-1,1.950743408E0,3.105498093E0
2.764372458E0,-2.509681091E0,-5.751040649E-1,2.462379456E0,3.562661428E0
2.774447458E0,-2.584974518E0,-5.551954651E-1,2.470312958E0,3.618394861E0
2.784522458E0,-2.601440277E0,-4.954696655E-1,2.014361115E0,3.327255987E0
2.794598458E0,-2.384691010E0,-3.291654968E-1,1.444196777E0,2.807277234E0
2.804673458E0,-2.127525787E0,-2.418969727E-1,7.209008789E-1,2.259331361E0
2.814749458E0,-2.054028625E0,-6.276448059E-1,-2.544708252E-3,2.147784457E0
2.824824458E0,-2.073637848E0,-1.353485413E0,-2.969824219E-1,2.494011878E0
2.834900458E0,-2.039508820E0,-2.126477966E0,-1.872605896E-1,2.952384002E0
2.844975458E0,-2.115999756E0,-2.981050873E0,-4.490661621E-4,3.655696852E0
2.855050458E0,-2.723586273E0,-4.091292114E0,2.170486450E-2,4.914983668E0
2.865126458E0,-4.004472656E0,-5.532944183E0,-2.653981018E-1,6.835181691E0
2.875201458E0,-6.383924561E0,-8.095615082E0,-9.355545044E-1,1.035223351E1
2.885277458E0,-9.396260376E0,-1.207089844E1,-1.609303436E0,1.538135741E1
2.895352458E0,-1.214694031E1,-1.625394974E1,-1.359472961E0,2.033684360E1
2.905428458E0,-1.415725983E1,-1.958721817E1,-3.129991150E-1,2.416992118E1
2.915503458E0,-1.568423447E1,-2.216306168E1,4.093986511E-1,2.715444938E1
2.925578458E0,-1.666694092E1,-2.422876602E1,1.064735870E0,2.942709100E1
2.935654458E0,-1.707514206E1,-2.590498032E1,2.312840424E0,3.111234019E1
2.945729458E0,-1.691557388E1,-2.700758743E1,4.197870483E0,3.214293912E1
2.955805458E0,-1.621353378E1,-2.724155090E1,5.928870850E0,3.225108189E1
2.965880458E0,-1.504656052E1,-2.662468369E1,6.991211700E0,3.137116201E1
2.975956458E0,-1.406145905E1,-2.563419342E1,7.223977661E0,3.011681185E1
2.986031458E0,-1.397374146E1,-2.440959000E1,6.824308777E0,2.894243812E1
2.996106458E0,-1.416938461E1,-2.254746231E1,6.083499298E0,2.731608465E1
3.006182458E0,-1.400787048E1,-2.031410660E1,5.069507904E0,2.519093632E1
3.016257458E0,-1.406684784E1,-1.846649872E1,4.050127716E0,2.356462004E1
3.026333458E0,-1.380818573E1,-1.649000885E1,3.601660309E0,2.180730020E1
3.036408458E0,-1.287038589E1,-1.399050659E1,3.505709839E0,1.933057447E1
3.046484458E0,-1.168021088E1,-1.151465515E1,3.319197693E0,1.673414721E1
3.056559458E0,-1.022523651E1,-9.302405548E0,3.329226837E0,1.421878905E1
3.066634458E0,-8.614436188E0,-7.016658783E0,3.793261871E0,1.174013828E1
3.076710458E0,-7.250472565E0,-4.700824585E0,4.272265778E0,9.639468817E0
3.086785458E0,-6.285579071E0,-2.675087128E0,4.508324890E0,8.184716777E0
3.096861458E0,-5.748795319E0,-9.900411987E-1,4.761298828E0,7.529860272E0
3.106936458E0,-5.442083130E0,3.414399719E-1,4.863685913E0,7.306729139E0
3.117012458E0,-5.028044128E0,1.279688873E0,4.548890533E0,6.900089598E0
3.127087458E0,-4.465364227E0,1.878443756E0,3.687132568E0,6.087936859E0
3.137162458E0,-3.611390076E0,2.207309875E0,2.196232910E0,4.768416316E0
3.147238458E0,-2.766696625E0,2.394720154E0,5.060975647E-1,3.693972059E0
3.157313458E0,-2.168091431E0,2.416425018E0,-8.214916992E-1,3.348817542E0
